attr.issue.key,attr.issue.link,created_on,dataset.project,dataset.minor_major_version
RL-5895,https://jira.intgdc.com/browse/RL-5895,2016-01-06,RL,R105.2
MSF-9972,https://jira.intgdc.com/browse/MSF-9972,2016-01-21,MSF,R106.1
CL-9051,https://jira.intgdc.com/browse/CL-9051,2016-01-21,CL,R106.1
MSF-10003,https://jira.intgdc.com/browse/MSF-10003,2016-01-28,MSF,R107.1
RL-6041,https://jira.intgdc.com/browse/RL-6041,2016-01-28,RL,R107.1
ZEN-848,https://jira.intgdc.com/browse/ZEN-848,2016-02-01,ZEN,R107.1
ONE-1083,https://jira.intgdc.com/browse/ONE-1083,2016-02-01,ONE,R107.1
ATP-3837,https://jira.intgdc.com/browse/ATP-3837,2016-02-18,ATP,R107.2
CL-9232,https://jira.intgdc.com/browse/CL-9232,2016-02-29,CL,R107.1
CL-9234,https://jira.intgdc.com/browse/CL-9234,2016-02-29,CL,R107.1
CL-9240,https://jira.intgdc.com/browse/CL-9240,2016-03-02,CL,R107.2
RL-6350,https://jira.intgdc.com/browse/RL-6350,2016-03-08,RL,R108.1
ATP-3843,https://jira.intgdc.com/browse/ATP-3843,2016-03-08,ATP,R108.1
MSF-10163,https://jira.intgdc.com/browse/MSF-10163,2016-03-22,MSF,R109.1
CPS-374,https://jira.intgdc.com/browse/CPS-374,2016-04-07,CPS,R110.1
WA-5801,https://jira.intgdc.com/browse/WA-5801,2016-04-12,WA,R110.2
PAAS-3872,https://jira.intgdc.com/browse/PAAS-3872,2016-04-14,PAAS,R110.3
MSF-10280,https://jira.intgdc.com/browse/MSF-10280,2016-04-25,MSF,R111.1
MSF-10368,https://jira.intgdc.com/browse/MSF-10368,2016-05-09,MSF,R112.1
ONE-1422,https://jira.intgdc.com/browse/ONE-1422,2016-05-10,ONE,R112.2
CPS-401,https://jira.intgdc.com/browse/CPS-401,2016-05-10,CPS,R112.4
CPS-409,https://jira.intgdc.com/browse/CPS-409,2016-05-12,CPS,R112.5
PAAS-4269,https://jira.intgdc.com/browse/PAAS-4269,2016-05-16,PAAS,R112.1
CL-9806,https://jira.intgdc.com/browse/CL-9806,2016-06-03,CL,R114.1
DSS-2852,https://jira.intgdc.com/browse/DSS-2852,2016-06-06,DSS,R114.1
RL-6761,https://jira.intgdc.com/browse/RL-6761,2016-06-08,RL,R114.4
GCF-1121,https://jira.intgdc.com/browse/GCF-1121,2016-06-13,GCF,R114.5
RL-6780,https://jira.intgdc.com/browse/RL-6780,2016-06-13,RL,R114.6
WA-5957,https://jira.intgdc.com/browse/WA-5957,2016-06-14,WA,R114.7
RL-6815,https://jira.intgdc.com/browse/RL-6815,2016-06-18,RL,R115.1
MSF-10592,https://jira.intgdc.com/browse/MSF-10592,2016-06-22,MSF,R115.1
DSS-2902,https://jira.intgdc.com/browse/DSS-2902,2016-06-23,DSS,R115.2
RL-6843,https://jira.intgdc.com/browse/RL-6843,2016-06-24,RL,R115.3
RL-6874,https://jira.intgdc.com/browse/RL-6874,2016-07-01,RL,R116.1
WA-6006,https://jira.intgdc.com/browse/WA-6006,2016-07-04,WA,R116.1
ZEN-1179,https://jira.intgdc.com/browse/ZEN-1179,2016-07-17,ZEN,R117.1
AQE-1682,https://jira.intgdc.com/browse/AQE-1682,2016-07-18,AQE,R117.1
WA-6029,https://jira.intgdc.com/browse/WA-6029,2016-07-18,WA,R117.1
ATP-3930,https://jira.intgdc.com/browse/ATP-3930,2016-08-02,ATP,R118.1
DSS-3017,https://jira.intgdc.com/browse/DSS-3017,2016-08-05,DSS,R118.2
RL-7042,https://jira.intgdc.com/browse/RL-7042,2016-08-17,RL,R119.1
PAAS-5500,https://jira.intgdc.com/browse/PAAS-5500,2016-08-18,PAAS,R119.2
MSF-10915,https://jira.intgdc.com/browse/MSF-10915,2016-08-31,MSF,R120.1
BE-151,https://jira.intgdc.com/browse/BE-151,2016-09-01,BE,R120.2
PAAS-5865,https://jira.intgdc.com/browse/PAAS-5865,2016-09-08,PAAS,NONE
PAAS-6066,https://jira.intgdc.com/browse/PAAS-6066,2016-09-19,PAAS,NONE
RL-7248,https://jira.intgdc.com/browse/RL-7248,2016-10-05,RL,R122.1
WA-6257,https://jira.intgdc.com/browse/WA-6257,2016-10-07,WA,R123.1
RL-7285,https://jira.intgdc.com/browse/RL-7285,2016-10-10,RL,NONE
MSF-11136,https://jira.intgdc.com/browse/MSF-11136,2016-10-13,MSF,R123.1
WA-6381,https://jira.intgdc.com/browse/WA-6381,2016-10-21,WA,R124.1
RL-7318,https://jira.intgdc.com/browse/RL-7318,2016-10-21,RL,R124.2
CL-10770,https://jira.intgdc.com/browse/CL-10770,2016-10-26,CL,R124.3
ZEN-1433,https://jira.intgdc.com/browse/ZEN-1433,2016-10-27,ZEN,R124.4
ZEN-1451,https://jira.intgdc.com/browse/ZEN-1451,2016-11-07,ZEN,R125.1
CL-10872,https://jira.intgdc.com/browse/CL-10872,2016-11-08,CL,R125.3
DSS-3330,https://jira.intgdc.com/browse/DSS-3330,2016-11-08,DSS,R125.5
ZEN-1462,https://jira.intgdc.com/browse/ZEN-1462,2016-11-10,ZEN,R125.6
PAAS-6986,https://jira.intgdc.com/browse/PAAS-6986,2016-11-10,PAAS,R125.10
TMA-180,https://jira.intgdc.com/browse/TMA-180,2016-11-15,TMA,R125.7
WA-6528,https://jira.intgdc.com/browse/WA-6528,2016-11-23,WA,R125.9
PAAS-7242,https://jira.intgdc.com/browse/PAAS-7242,2016-11-24,PAAS,R125.11
MSF-11393,https://jira.intgdc.com/browse/MSF-11393,2016-12-03,MSF,NONE
ZEN-1497,https://jira.intgdc.com/browse/ZEN-1497,2016-12-05,ZEN,R126.2
WA-6608,https://jira.intgdc.com/browse/WA-6608,2016-12-06,WA,R126.4
CL-11098,https://jira.intgdc.com/browse/CL-11098,2016-12-15,CL,R126.5
PAAS-7661,https://jira.intgdc.com/browse/PAAS-7661,2016-12-19,PAAS,R127.1
RL-7537,https://jira.intgdc.com/browse/RL-7537,2016-12-20,RL,R127.2
CL-11130,https://jira.intgdc.com/browse/CL-11130,2016-12-20,CL,R127.3
MSF-11569,https://jira.intgdc.com/browse/MSF-11569,2017-01-02,MSF,R127.4
DSS-3539,https://jira.intgdc.com/browse/DSS-3539,2017-01-16,DSS,R128.1
