minor_name,minor_numeric,major_name
R105.2,10502,R105
R106.1,10601,R106
R107.1,10701,R107
R107.2,10702,R107
R108.1,10801,R108
R109.1,10901,R109
R110.1,11001,R110
R110.2,11002,R110
R110.3,11003,R110
R111.1,11101,R111
R112.1,11201,R112
R112.2,11202,R112
R112.4,11204,R112
R112.5,11205,R112
R114.1,11401,R114
R114.4,11404,R114
R114.5,11405,R114
R114.6,11406,R114
R114.7,11407,R114
R115.1,11501,R115
R115.2,11502,R115
R115.3,11503,R115
R116.1,11601,R116
R117.1,11701,R117
R118.1,11801,R118
R118.2,11802,R118
R119.1,11901,R119
R119.2,11902,R119
R120.1,12001,R120
R120.2,12002,R120
R122.1,12201,R122
R123.1,12301,R123
R124.1,12401,R124
R124.2,12402,R124
R124.3,12403,R124
R124.4,12404,R124
R125.1,12501,R125
R125.3,12503,R125
R125.5,12505,R125
R125.6,12506,R125
R125.10,12510,R125
R125.7,12507,R125
R125.9,12509,R125
R125.11,12511,R125
R126.2,12602,R126
R126.4,12604,R126
R126.5,12605,R126
R127.1,12701,R127
R127.2,12702,R127
R127.3,12703,R127
R127.4,12704,R127
R128.1,12801,R128
